geoName;coordinates;cansancio;pérdida de apetito;Pérdida de libido;Ataque de pánico;culpa;Fecha
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/04/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;08/04/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;09/04/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;09/04/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;10/04/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;10/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;100;10/04/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;11/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;11/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;13/04/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;14/04/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;14/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;14/04/2020
Cuarte de Huerva;{'lat': 41.5962142, 'lng': -0.9331147};0;0;0;0;0;15/04/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;15/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;15/04/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;16/04/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;16/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;16/04/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;100;17/04/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;19/04/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;19/04/2020
