date,/m/0jgxn,isPartial
2010-12-26,41,False
2011-01-02,75,False
2011-01-09,63,False
2011-01-16,97,False
2011-01-23,58,False
2011-01-30,99,False
2011-02-06,59,False
2011-02-13,69,False
2011-02-20,49,False
2011-02-27,73,False
2011-03-06,56,False
2011-03-13,56,False
2011-03-20,60,False
2011-03-27,80,False
2011-04-03,67,False
2011-04-10,52,False
2011-04-17,59,False
2011-04-24,50,False
2011-05-01,71,False
2011-05-08,61,False
2011-05-15,67,False
2011-05-22,40,False
2011-05-29,58,False
2011-06-05,71,False
2011-06-12,67,False
2011-06-19,56,False
2011-06-26,44,False
2011-07-03,75,False
2011-07-10,39,False
2011-07-17,47,False
2011-07-24,72,False
2011-07-31,56,False
2011-08-07,45,False
2011-08-14,58,False
2011-08-21,60,False
2011-08-28,39,False
2011-09-04,58,False
2011-09-11,66,False
2011-09-18,100,False
2011-09-25,60,False
2011-10-02,66,False
2011-10-09,83,False
2011-10-16,77,False
2011-10-23,72,False
2011-10-30,53,False
2011-11-06,83,False
2011-11-13,57,False
2011-11-20,87,False
2011-11-27,50,False
2011-12-04,52,False
2011-12-11,67,False
2011-12-18,30,False
2011-12-25,37,False
