date,/m/0jgxn,isPartial
2021-12-26,0,False
2022-01-02,98,False
2022-01-09,83,False
2022-01-16,97,False
2022-01-23,65,False
2022-01-30,60,False
2022-02-06,70,False
2022-02-13,77,False
2022-02-20,79,False
2022-02-27,94,False
2022-03-06,47,False
2022-03-13,50,False
2022-03-20,88,False
2022-03-27,73,False
2022-04-03,65,False
2022-04-10,61,False
2022-04-17,52,False
2022-04-24,80,False
2022-05-01,74,False
2022-05-08,59,False
2022-05-15,71,False
2022-05-22,59,False
2022-05-29,69,False
2022-06-05,87,False
2022-06-12,82,False
2022-06-19,65,False
2022-06-26,65,False
2022-07-03,57,False
2022-07-10,57,False
2022-07-17,54,False
2022-07-24,30,False
2022-07-31,45,False
2022-08-07,60,False
2022-08-14,60,False
2022-08-21,54,False
2022-08-28,53,False
2022-09-04,58,False
2022-09-11,53,False
2022-09-18,72,False
2022-09-25,61,False
2022-10-02,73,False
2022-10-09,86,False
2022-10-16,90,False
2022-10-23,64,False
2022-10-30,72,False
2022-11-06,64,False
2022-11-13,87,False
2022-11-20,100,False
2022-11-27,64,False
2022-12-04,81,False
2022-12-11,56,False
2022-12-18,78,False
2022-12-25,29,False
