date,/m/0jgxn,isPartial
2021-12-26,38,False
2022-01-02,57,False
2022-01-09,88,False
2022-01-16,66,False
2022-01-23,77,False
2022-01-30,49,False
2022-02-06,68,False
2022-02-13,77,False
2022-02-20,57,False
2022-02-27,52,False
2022-03-06,45,False
2022-03-13,53,False
2022-03-20,80,False
2022-03-27,75,False
2022-04-03,66,False
2022-04-10,53,False
2022-04-17,61,False
2022-04-24,79,False
2022-05-01,57,False
2022-05-08,53,False
2022-05-15,45,False
2022-05-22,52,False
2022-05-29,60,False
2022-06-05,52,False
2022-06-12,46,False
2022-06-19,39,False
2022-06-26,54,False
2022-07-03,48,False
2022-07-10,56,False
2022-07-17,56,False
2022-07-24,57,False
2022-07-31,59,False
2022-08-07,58,False
2022-08-14,62,False
2022-08-21,53,False
2022-08-28,48,False
2022-09-04,72,False
2022-09-11,63,False
2022-09-18,71,False
2022-09-25,75,False
2022-10-02,65,False
2022-10-09,86,False
2022-10-16,98,False
2022-10-23,100,False
2022-10-30,76,False
2022-11-06,97,False
2022-11-13,73,False
2022-11-20,87,False
2022-11-27,75,False
2022-12-04,48,False
2022-12-11,66,False
2022-12-18,69,False
2022-12-25,62,False
