date,/m/0jgxn,isPartial
2018-12-30,59,False
2019-01-06,56,False
2019-01-13,60,False
2019-01-20,100,False
2019-01-27,56,False
2019-02-03,70,False
2019-02-10,71,False
2019-02-17,86,False
2019-02-24,52,False
2019-03-03,64,False
2019-03-10,68,False
2019-03-17,0,False
2019-03-24,65,False
2019-03-31,0,False
2019-04-07,60,False
2019-04-14,0,False
2019-04-21,75,False
2019-04-28,52,False
2019-05-05,65,False
2019-05-12,77,False
2019-05-19,48,False
2019-05-26,55,False
2019-06-02,56,False
2019-06-09,68,False
2019-06-16,0,False
2019-06-23,43,False
2019-06-30,61,False
2019-07-07,68,False
2019-07-14,59,False
2019-07-21,0,False
2019-07-28,72,False
2019-08-04,0,False
2019-08-11,58,False
2019-08-18,62,False
2019-08-25,58,False
2019-09-01,73,False
2019-09-08,43,False
2019-09-15,69,False
2019-09-22,63,False
2019-09-29,59,False
2019-10-06,46,False
2019-10-13,81,False
2019-10-20,80,False
2019-10-27,53,False
2019-11-03,61,False
2019-11-10,93,False
2019-11-17,57,False
2019-11-24,89,False
2019-12-01,84,False
2019-12-08,99,False
2019-12-15,57,False
2019-12-22,64,False
2019-12-29,0,False
